"Sku","Name","Width","Length","Height","Weight","Quantity","PartNumber","StockThreshold","LeadTime"
"SKU001","Brushless DC Motor - Single","2.8","2.8","2.5","0.035","1","BLDC_MOTOR","5","12:00:00"
"SKU002","Brushless DC Motor - 4 Pack","2.8","2.8","2.5","0.140","4","BLDC_MOTOR","10","12:00:00"
"SKU003","Brushless DC Motor - 10 Pack","2.8","2.8","2.5","0.350","10","BLDC_MOTOR","15","24:00:00"
"SKU004","Brushless DC Motor - 20 Pack","2.8","2.8","2.5","0.700","20","BLDC_MOTOR","20","24:00:00"
"SKU005","30A ESC - Single","2.5","6.0","1.2","0.028","1","ESC_30A","5","12:00:00"
"SKU006","30A ESC - 4 Pack","2.5","6.0","1.2","0.112","4","ESC_30A","10","12:00:00"
"SKU007","30A ESC - 10 Pack","2.5","6.0","1.2","0.280","10","ESC_30A","15","24:00:00"
"SKU008","5-Inch Propeller - Single","1.3","12.7","0.3","0.004","1","PROP_5IN","20","12:00:00"
"SKU009","5-Inch Propeller - 4 Pack","1.3","12.7","0.3","0.016","4","PROP_5IN","30","12:00:00"
"SKU010","5-Inch Propeller - 20 Pack","1.3","12.7","0.3","0.080","20","PROP_5IN","50","24:00:00"
"SKU011","LiPo Battery 3S 1500mAh","3.4","7.0","2.0","0.120","1","LIPO_1500","5","24:00:00"
"SKU012","LiPo Battery 3S 1500mAh - 2 Pack","3.4","7.0","2.0","0.240","2","LIPO_1500","8","24:00:00"
"SKU013","LiPo Battery 3S 1500mAh - 5 Pack","3.4","7.0","2.0","0.600","5","LIPO_1500","10","48:00:00"
"SKU014","Balance Charger - Single","8.0","14.0","4.0","0.400","1","CHARGER_BAL","3","24:00:00"
"SKU015","Balance Charger - 4 Pack","8.0","14.0","4.0","1.600","4","CHARGER_BAL","5","48:00:00"
"SKU016","6CH Radio Transmitter","20.0","15.0","7.0","0.650","1","RADIO_6CH","5","24:00:00"
"SKU017","6CH Radio Transmitter - 3 Pack","20.0","15.0","7.0","1.950","3","RADIO_6CH","8","48:00:00"
"SKU018","6CH Receiver","3.0","2.0","1.0","0.010","1","RECEIVER_6CH","10","12:00:00"
"SKU019","6CH Receiver - 5 Pack","3.0","2.0","1.0","0.050","5","RECEIVER_6CH","15","24:00:00"
"SKU020","Micro Servo 9g - Single","2.3","2.9","1.2","0.009","1","SERVO_9G","20","12:00:00"
"SKU021","Micro Servo 9g - 10 Pack","2.3","2.9","1.2","0.090","10","SERVO_9G","30","24:00:00"
"SKU022","Off-road RC Car Tires - Set of 4","6.0","6.0","3.0","0.250","4","TIRES_RC_CAR","5","24:00:00"
"SKU023","Off-road RC Car Tires - Set of 20","6.0","6.0","3.0","1.250","20","TIRES_RC_CAR","8","48:00:00"
"SKU024","48P Gear Set - Single","2.0","2.0","0.5","0.005","1","GEARSET_48P","15","12:00:00"
"SKU025","48P Gear Set - 10 Pack","2.0","2.0","0.5","0.050","10","GEARSET_48P","20","24:00:00"
"SKU026","250mm Drone Frame","25.0","25.0","4.0","0.150","1","FRAME_DRONE_250","3","48:00:00"
"SKU027","450mm Drone Frame","45.0","45.0","6.0","0.450","1","FRAME_DRONE_450","3","48:00:00"
"SKU028","FPV Camera 800TVL - Single","2.0","2.0","2.0","0.012","1","CAMERA_FP","10","24:00:00"
"SKU029","5.8GHz VTX","2.5","4.0","1.0","0.015","1","VTX_5G8","5","12:00:00"
"SKU030","5.8GHz VRX","2.5","4.0","1.0","0.018","1","VRX_5G8","5","12:00:00"
"SKU031","Omni Antenna","0.8","8.0","0.8","0.010","1","ANTENNA_OMNI","20","12:00:00"
"SKU032","RC Hobby Tool Kit","20.0","12.0","5.0","0.800","1","TOOLS_RC","2","48:00:00"
"SKU033","Screw Set - 100 Pieces","5.0","5.0","3.0","0.200","100","SCREW_SET","10","24:00:00"
"SKU034","LED Strip - 30cm","0.5","30.0","0.2","0.015","1","LED_STRIP","20","12:00:00"
"SKU035","Blade Guards - Set of 4","4.0","15.0","4.0","0.120","4","BLADE_GUARD","10","24:00:00"
"SKU036","Ball Bearing Set","2.0","2.0","0.5","0.020","1","BEARING_SET","15","12:00:00"
"SKU037","Motor Mount","3.0","3.0","1.0","0.025","1","MOTOR_MOUNT","5","24:00:00"
"SKU038","Heat Shrink Tubing Assortment","5.0","10.0","1.0","0.050","1","HEATSHRINK","50","12:00:00"
"SKU039","Mini Toggle Switch","1.0","2.0","1.0","0.005","1","SWITCH_TOGGLE","30","12:00:00"
"SKU040","XT60 Connector Pair","1.5","3.0","1.0","0.012","1","CONNECTOR_XT60","40","12:00:00"
"SKU041","14AWG Silicone Wire - 1m","0.5","100.0","0.5","0.070","1","WIRE_SILIC_14AWG","100","12:00:00"
"SKU042","Flight Controller F405","3.6","3.6","0.5","0.010","1","FC_F405","5","24:00:00"
"SKU043","Custom Drone Shell - Red","30.0","30.0","5.0","0.200","1","","","120:00:00"
"SKU044","Custom Drone Shell - Blue","30.0","30.0","5.0","0.200","1","","","120:00:00"
"SKU045","Custom Drone Shell - Green","30.0","30.0","5.0","0.200","1","","","120:00:00"
"SKU046","Custom Drone Shell - Black","30.0","30.0","5.0","0.200","1","","","120:00:00"
"SKU047","Custom Drone Shell - White","30.0","30.0","5.0","0.200","1","","","120:00:00"
"SKU048","Airbrush Paint - Metallic Red","3.0","3.0","10.0","0.100","1","","","168:00:00"
"SKU049","Airbrush Paint - Metallic Blue","3.0","3.0","10.0","0.100","1","","","168:00:00"
"SKU050","Airbrush Paint - Metallic Green","3.0","3.0","10.0","0.100","1","","","168:00:00"
"SKU051","Airbrush Paint - Matte Black","3.0","3.0","10.0","0.100","1","","","168:00:00"
"SKU052","Airbrush Paint - Matte White","3.0","3.0","10.0","0.100","1","","","168:00:00"
"SKU053","Custom Carbon Fiber Frame 280mm","28.0","28.0","4.0","0.180","1","","","168:00:00"
"SKU054","Custom Carbon Fiber Frame 500mm","50.0","50.0","6.0","0.500","1","","","168:00:00"
"SKU055","3D Printed Canopy - Yellow","15.0","15.0","3.0","0.050","1","","","96:00:00"
"SKU056","3D Printed Canopy - Blue","15.0","15.0","3.0","0.050","1","","","96:00:00"
"SKU057","3D Printed Canopy - Pink","15.0","15.0","3.0","0.050","1","","","96:00:00"
"SKU058","3D Printed Canopy - Black","15.0","15.0","3.0","0.050","1","","","96:00:00"
"SKU059","Custom RC Car Body - Flames","45.0","20.0","10.0","0.300","1","","","144:00:00"
"SKU060","Custom RC Car Body - Tribal","45.0","20.0","10.0","0.300","1","","","144:00:00"
"SKU061","Custom RC Car Body - Camo","45.0","20.0","10.0","0.300","1","","","144:00:00"
"SKU062","Custom RC Car Body - Skull","45.0","20.0","10.0","0.300","1","","","144:00:00"
"SKU063","RC Drone Carrying Case","40.0","30.0","15.0","1.200","1","","","168:00:00"
"SKU064","FPV Goggles - Entry Level","18.0","18.0","12.0","0.800","1","","","168:00:00"
"SKU065","FPV Goggles - Pro","18.0","18.0","12.0","0.850","1","","","168:00:00"
"SKU066","RC Car Pit Mat","60.0","40.0","0.5","0.400","1","","","72:00:00"
"SKU067","RC Drone Racing Gate","100.0","100.0","5.0","2.000","1","","","168:00:00"
"SKU068","Custom Painted Transmitter Shell","20.0","15.0","7.0","0.200","1","","","120:00:00"
"SKU069","Custom Painted Drone Prop Set - Neon","1.3","12.7","0.3","0.016","4","","","96:00:00"
"SKU070","Custom Painted Drone Prop Set - Glow","1.3","12.7","0.3","0.016","4","","","96:00:00"
"SKU071","Custom Painted Drone Prop Set - Metallic Red","1.3","12.7","0.3","0.016","4","","","96:00:00"
"SKU072","Custom Painted Drone Prop Set - Metallic Blue","1.3","12.7","0.3","0.016","4","","","96:00:00"
"SKU073","Custom Painted Drone Prop Set - Matte Black","1.3","12.7","0.3","0.016","4","","","96:00:00"
"SKU074","RC Drone Transport Backpack","45.0","35.0","20.0","1.500","1","","","168:00:00"
"SKU075","Custom LED Drone Lighting Kit - Rainbow","0.5","30.0","0.2","0.020","1","","","120:00:00"
"SKU076","Custom LED Drone Lighting Kit - White","0.5","30.0","0.2","0.020","1","","","120:00:00"
"SKU077","Custom LED Drone Lighting Kit - Blue","0.5","30.0","0.2","0.020","1","","","120:00:00"
"SKU078","RC Car Decal Set - Flames","20.0","15.0","0.1","0.030","1","","","72:00:00"
"SKU079","RC Car Decal Set - Tribal","20.0","15.0","0.1","0.030","1","","","72:00:00"
"SKU080","RC Car Decal Set - Camo","20.0","15.0","0.1","0.030","1","","","72:00:00"
"SKU081","RC Car Decal Set - Skull","20.0","15.0","0.1","0.030","1","","","72:00:00"
"SKU082","FPV Racing Drone Canopy - Transparent","15.0","15.0","3.0","0.050","1","","","96:00:00"
"SKU083","FPV Racing Drone Canopy - Smoke","15.0","15.0","3.0","0.050","1","","","96:00:00"
"SKU084","FPV Racing Drone Canopy - Neon Green","15.0","15.0","3.0","0.050","1","","","96:00:00"
"SKU085","Custom RC Car Spoiler - Red","12.0","6.0","3.0","0.020","1","","","120:00:00"
"SKU086","Custom RC Car Spoiler - Black","12.0","6.0","3.0","0.020","1","","","120:00:00"
"SKU087","Custom RC Car Spoiler - Blue","12.0","6.0","3.0","0.020","1","","","120:00:00"
"SKU088","RC Car Racing Stand","25.0","25.0","20.0","1.200","1","","","168:00:00"
"SKU089","Custom RC Transmitter Neck Strap","2.0","50.0","0.5","0.030","1","","","72:00:00"
"SKU090","Custom RC Transmitter Neck Strap - Branded","2.0","50.0","0.5","0.030","1","","","72:00:00"
"SKU091","RC Drone Tool Roll","30.0","15.0","5.0","0.400","1","","","96:00:00"
"SKU092","Custom Painted RC Car Chassis Plate - Red","30.0","15.0","0.5","0.300","1","","","168:00:00"
"SKU093","Custom Painted RC Car Chassis Plate - Blue","30.0","15.0","0.5","0.300","1","","","168:00:00"
"SKU094","Custom Painted RC Car Chassis Plate - Black","30.0","15.0","0.5","0.300","1","","","168:00:00"
"SKU095","FPV Racing Helmet Visor - Clear","20.0","12.0","5.0","0.100","1","","","96:00:00"
"SKU096","FPV Racing Helmet Visor - Tinted","20.0","12.0","5.0","0.100","1","","","96:00:00"
"SKU097","RC Car Wheel Nut Set - Blue","1.5","1.5","1.5","0.010","4","","","72:00:00"
"SKU098","RC Car Wheel Nut Set - Red","1.5","1.5","1.5","0.010","4","","","72:00:00"
"SKU099","RC Car Wheel Nut Set - Black","1.5","1.5","1.5","0.010","4","","","72:00:00"
"SKU100","RC Car Wheel Nut Set - Silver","1.5","1.5","1.5","0.010","4","","","72:00:00"
"SKU101","RC Racing Drone Arm Guards - Red","10.0","2.0","2.0","0.015","4","","","96:00:00"
"SKU102","RC Racing Drone Arm Guards - Blue","10.0","2.0","2.0","0.015","4","","","96:00:00"
"SKU103","RC Racing Drone Arm Guards - Black","10.0","2.0","2.0","0.015","4","","","96:00:00"
"SKU104","RC Racing Drone Arm Guards - Yellow","10.0","2.0","2.0","0.015","4","","","96:00:00"
"SKU105","Custom LiPo Battery Strap - Red","2.0","25.0","0.3","0.005","1","","","72:00:00"
"SKU106","Custom LiPo Battery Strap - Blue","2.0","25.0","0.3","0.005","1","","","72:00:00"
"SKU107","Custom LiPo Battery Strap - Black","2.0","25.0","0.3","0.005","1","","","72:00:00"
"SKU108","Custom LiPo Battery Strap - Yellow","2.0","25.0","0.3","0.005","1","","","72:00:00"
"SKU109","Custom RC Controller Grip - Red","5.0","10.0","2.0","0.020","1","","","96:00:00"
